game,frames,chunks,videos,controllers
"other",43149224,37782,120,"ps4|ps5|switch|xboxone"
"elden_ring",10201808,8515,20,"ps4|xboxone"
"dark_souls_iii",8476736,7064,14,"ps4|xboxone"
"sekiro__shadows_die_twice",4156264,3472,5,"ps5|xboxone"
"kingdom_hearts_hd_1_5___2_5_remix",4003340,3337,11,"ps4|ps5|switch"
"dark_souls__remastered",3918018,3796,5,"ps4|ps5|xboxone"
"celeste",3672000,3060,6,"ps3|xboxone"
"lies_of_p",3018000,2515,5,"ps4|xboxone"
"streets_of_rage_2",2929200,2441,3,"ps4"
"hollow_knight",2326800,1939,5,"ps4|xboxone"
"rocket_league",2250000,1812,12,"ps4|xboxone"
"mx_bikes",2037600,2035,7,"ps4|xboxone"
"call_of_duty__warzone",1926000,2730,3,"ps4|xboxone"
"fortnite",1664066,1387,5,"ps4|ps5|xboxone"
"the_binding_of_isaac__repentance",1600000,1600,2,"xboxone"
"monster_hunter_wilds",1580400,725,2,"ps4"
"dead_cells",1510800,1259,1,"xboxone"
"hades_ii",1333200,1111,1,"switch"
"pseudoregalia",1279200,1066,1,"ps4"
"bpm__bullets_per_minute",1237200,1031,1,"ps4"
"black_myth__wukong",1092000,910,1,"ps5"
"castlevania__symphony_of_the_night",1071600,893,1,"ps3"
"nine_sols",1039200,866,1,"xboxone"
"the_legend_of_zelda__tears_of_the_kingdom",1000800,834,1,"ps4"
"street_fighter_6",999600,833,2,"xboxone"
"apex_legends",907200,756,1,"ps5"
"another_crab_s_treasure",891600,743,1,"xboxone"
"stranger_of_paradise__final_fantasy_origin",730800,609,1,"ps4"
"hollow_knight__silksong",712200,598,2,"ps4|xboxone"
"devil_may_cry_3__dante_s_awakening_-_special_edition",699600,583,1,"ps5"
"sea_of_thieves",696000,580,1,"xboxone"
"inscreva-se_no_canal_",681000,1135,2,"xboxone"
"dark_souls_ii__scholar_of_the_first_sin",667200,556,1,"ps4"
"clair_obscur__expedition_33",643200,536,1,"ps5"
"god_of_war_ragnarök",542400,452,1,"ps4"
"final_fantasy_v",519578,433,1,"ps4"
"super_mario_64",514560,536,1,"ps3"
"bloodborne",507600,423,2,"ps5"
"metroid_dread",498000,415,1,"xboxone"
"ssx_3",427200,712,1,"ps3"
"super_mario_world",415200,346,1,"ps4"
"lothric_castle",394800,329,1,"xboxone"
"space_adventure_cobra__the_awakening",383400,639,1,"xboxone"
"dark_souls",371380,310,1,"xboxone"
"assassin_s_creed_ii",354000,354,1,"xboxone"
"death_stranding",334800,279,1,"xboxone"
"riders_republic",294708,246,1,"xboxone"
"grand_theft_auto_v",248400,414,1,"ps4"
"little_nightmares_ii",247200,206,1,"ps4"
"patapon",241800,403,1,"ps4"
"mx_simulator",211200,176,2,"xboxone"
"hades",191850,160,2,"xboxone"
"graphics",148800,248,1,"ps3"
"fall_guys__ultimate_knockout",142800,119,5,"ps4"
"crisis_core__final_fantasy_vii",135600,113,1,"xboxone"
"commander_gaius",130800,109,1,"ps4"
"start_of_ng",130704,109,1,"ps4"
"perfect_cherry_blossom",124800,104,1,"xboxone"
"cuphead",118800,99,1,"xboxone"
"session__skate_sim",114000,95,2,"xboxone"
"flutter_barn",112612,94,1,"ps4"
"shantae__half-genie_hero",109200,91,1,"ps3"
"retro",108000,90,1,"ps4"
"salt_and_sanctuary",105424,88,1,"ps4"
"turnip_boy_commits_tax_evasion",104400,87,1,"ps4"
"jack_bros_",94560,197,1,"xboxone"
"legacy_of_lunatic_kingdom",86400,72,1,"xboxone"
"little_nightmares",79800,133,1,"xboxone"
"_sekiro__shadows_die_twice",78000,65,1,"ps5"
"game_3",57600,48,1,"ps4"
"fairy_wars",52800,44,1,"xboxone"
"persona_3_reload",52800,44,1,"ps4"
"kingdom_hearts__melody_of_memory",45600,38,6,"ps4"
"thin_ice",37200,31,1,"ps4"
"embodiment_of_scarlet_devil",34800,29,1,"xboxone"
"skating_the_map",33600,28,1,"xboxone"
"hex-a-gone",32400,27,1,"ps4"
"halo_infinite",25200,21,1,"xboxone"
"final_fantasy_ix",21600,36,1,"ps4"
"tentative_run_any__n_2__yaggi_pb___18_33_",19500,65,1,"ps3"
"_untitled_chapter_1_",14400,12,1,"ps4"
"art_of_rally",13200,11,1,"xboxone"
"geometry_dash",13200,11,2,"xboxone"
"dragon_ball__sparking__zero",12000,10,1,"xboxone"
"metaphor__refantazio",4800,4,1,"ps4"
"call_of_duty__modern_warfare_ii",2400,2,1,"xboxone"
